audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
audio_encoder.base.conv_block1, input min: -4.387585639953613, output min: 0.0
